Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2015","2015","ha","46714","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2016","2016","ha","47432","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2017","2017","ha","48644","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2018","2018","ha","49123","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2019","2019","ha","48850","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2020","2020","ha","49280","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1961","1961","tonnes","446000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1962","1962","tonnes","512100","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1963","1963","tonnes","469400","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1964","1964","tonnes","571100","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1965","1965","tonnes","619800","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1966","1966","tonnes","760000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1967","1967","tonnes","741700","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1968","1968","tonnes","767100","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1969","1969","tonnes","744744","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1970","1970","tonnes","593400","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1971","1971","tonnes","595751","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1972","1972","tonnes","585987","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1973","1973","tonnes","588181","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1974","1974","tonnes","575120","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1975","1975","tonnes","578318","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1976","1976","tonnes","588625","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1977","1977","tonnes","589714","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1978","1978","tonnes","596393","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1979","1979","tonnes","616393","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1980","1980","tonnes","652101","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1981","1981","tonnes","683855","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1982","1982","tonnes","698786","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1983","1983","tonnes","674708","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1984","1984","tonnes","689767","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1985","1985","tonnes","691405","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1986","1986","tonnes","759110","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1987","1987","tonnes","683970","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1988","1988","tonnes","608921","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1989","1989","tonnes","637087","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1990","1990","tonnes","623670","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1991","1991","tonnes","626265","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1992","1992","tonnes","636110","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1993","1993","tonnes","631550","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1994","1994","tonnes","639850","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1995","1995","tonnes","634000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1996","1996","tonnes","633645","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1997","1997","tonnes","628425","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1998","1998","tonnes","624735","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","1999","1999","tonnes","562000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2000","2000","tonnes","572000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2001","2001","tonnes","606000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2002","2002","tonnes","654000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2003","2003","tonnes","649730","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2004","2004","tonnes","706585","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2005","2005","tonnes","898710","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2006","2006","tonnes","909060","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2007","2007","tonnes","1004520","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2008","2008","tonnes","877123","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2009","2009","tonnes","836183","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2010","2010","tonnes","818254","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2011","2011","tonnes","800840","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2012","2012","tonnes","745927","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2013","2013","tonnes","774826","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2014","2014","tonnes","770203","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2015","2015","tonnes","777427","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2016","2016","tonnes","798012","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2017","2017","tonnes","807104","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2018","2018","tonnes","810347","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2019","2019","tonnes","833309","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2020","2020","tonnes","817908","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1961","1961","ha","17800","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1962","1962","ha","18600","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1963","1963","ha","19400","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1964","1964","ha","19000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1965","1965","ha","21000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1966","1966","ha","36800","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1967","1967","ha","37600","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1968","1968","ha","25326","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1969","1969","ha","25781","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1970","1970","ha","24943","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1971","1971","ha","24836","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1972","1972","ha","25101","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1973","1973","ha","25204","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1974","1974","ha","26542","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1975","1975","ha","26092","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1976","1976","ha","26533","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1977","1977","ha","26867","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1978","1978","ha","27355","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1979","1979","ha","28395","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1980","1980","ha","29166","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1981","1981","ha","29935","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1982","1982","ha","29952","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1983","1983","ha","30274","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1984","1984","ha","30859","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1985","1985","ha","30750","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1986","1986","ha","31325","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1987","1987","ha","31560","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1988","1988","ha","32334","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1989","1989","ha","32446","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1990","1990","ha","32430","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1991","1991","ha","30729","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1992","1992","ha","30727","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1993","1993","ha","31227","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1994","1994","ha","31496","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1995","1995","ha","31647","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1996","1996","ha","29200","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1997","1997","ha","32036","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1998","1998","ha","32092","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","1999","1999","ha","31161","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2000","2000","ha","30769","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2001","2001","ha","30756","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2002","2002","ha","30756","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2003","2003","ha","31053","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2004","2004","ha","39081","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2005","2005","ha","40000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2006","2006","ha","39000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2007","2007","ha","41000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2008","2008","ha","42000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2009","2009","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2010","2010","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2011","2011","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2012","2012","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2013","2013","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2014","2014","ha","43000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2015","2015","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2016","2016","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2017","2017","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2018","2018","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2019","2019","ha","43000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","249","Coconuts","2020","2020","ha","42000","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1961","1961","tonnes","49786","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1962","1962","tonnes","51819","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1963","1963","tonnes","50803","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1964","1964","tonnes","62995","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1965","1965","tonnes","85348","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1966","1966","tonnes","92461","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1967","1967","tonnes","94493","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1968","1968","tonnes","80258","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1969","1969","tonnes","83021","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1970","1970","tonnes","56675","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1971","1971","tonnes","57376","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1972","1972","tonnes","58316","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1973","1973","tonnes","57742","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1974","1974","tonnes","61857","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1975","1975","tonnes","61903","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1976","1976","tonnes","65307","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1977","1977","tonnes","68497","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1978","1978","tonnes","66871","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1979","1979","tonnes","71839","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1980","1980","tonnes","76717","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1981","1981","tonnes","77275","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1982","1982","tonnes","77341","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1983","1983","tonnes","79256","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1984","1984","tonnes","83051","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1985","1985","tonnes","83015","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1986","1986","tonnes","83330","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1987","1987","tonnes","82615","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1988","1988","tonnes","86060","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1989","1989","tonnes","83674","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1990","1990","tonnes","81595","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1991","1991","tonnes","75915","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1992","1992","tonnes","81640","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1993","1993","tonnes","92695","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1994","1994","tonnes","93850","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1995","1995","tonnes","95275","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1996","1996","tonnes","89000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1997","1997","tonnes","89255","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1998","1998","tonnes","89320","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","1999","1999","tonnes","89000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2000","2000","tonnes","89000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2001","2001","tonnes","89000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2002","2002","tonnes","87000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2003","2003","tonnes","87905","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2004","2004","tonnes","132900","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2005","2005","tonnes","394455","*","Unofficial figure"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2006","2006","tonnes","325815","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2007","2007","tonnes","351810","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2008","2008","tonnes","334047","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2009","2009","tonnes","316405","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2010","2010","tonnes","402000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2011","2011","tonnes","326000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2012","2012","tonnes","372000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2013","2013","tonnes","364000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2014","2014","tonnes","347474","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2015","2015","tonnes","383833","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2016","2016","tonnes","374269","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2017","2017","tonnes","408635","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2018","2018","tonnes","466975","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2019","2019","tonnes","431596","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","249","Coconuts","2020","2020","tonnes","431596","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","56","Maize","1961","1961","ha","8903","","Official data"
